"TIME","(+)"
0,-2.70191e-032
3.6e-006,2.09287e-006
3.756807567e-006,2.34953e-006
4.070422702e-006,2.94086e-006
4.697652972e-006,4.51008e-006
5.952113511e-006,1.0054e-005
7.000286711e-006,1.9066e-005
7.927922441e-006,3.31977e-005
8.686557523e-006,5.19943e-005
9.4176861e-006,7.98958e-005
1.017912047e-005,0.000124697
1.090198147e-005,0.000189926
1.164820862e-005,0.000292644
1.237976445e-005,0.000446002
1.312302003e-005,0.000682014
1.386545125e-005,0.00103743
1.461773555e-005,0.00157578
1.537900861e-005,0.00238117
1.61570525e-005,0.0035787
1.695839699e-005,0.0053353
1.779516352e-005,0.00787711
1.868327017e-005,0.0114948
1.964584177e-005,0.0165628
2.071437609e-005,0.0235607
2.193204159e-005,0.0331167
2.33569909e-005,0.046067
2.506753319e-005,0.0635423
2.716877195e-005,0.0870772
2.980194813e-005,0.118757
3.315691969e-005,0.161409
3.748920714e-005,0.218857
4.314291532e-005,0.29627
5.058177982e-005,0.400623
6.04310262e-005,0.541329
7.353398356e-005,0.731081
9.102860769e-005,0.987003
0.0001144511954,1.33218
0.0001458773114,1.79775
0.000188114388,2.42566
0.0003216115245,4.41377
0.0004251296574,5.95152
0.0005653252143,8.02092
0.0007560457959,10.7999
0.001017593515,14.5164
0.001377593515,19.3899
0.001737593515,23.9004
0.002097593515,27.964
0.002457593515,31.5057
0.002817593515,34.46
0.003177593515,36.7724
0.003537593515,38.4003
0.003897593515,39.3137
0.004257593515,39.4957
0.004617593515,38.943
0.004977593515,37.6657
0.005337593515,35.6875
0.005697593515,33.0447
0.006057593515,29.7862
0.006417593515,25.972
0.006777593515,21.6727
0.007137593515,16.9679
0.007497593515,11.9453
0.007857593515,6.70064
0.008217593515,1.35118
0.008262593515,0.690334
0.008352593515,0.014388
0.008532593515,2.59153
0.008667593515,4.60197
0.008847593515,7.26932
0.009207593515,12.495
0.009567593515,17.4881
0.009927593515,22.1536
0.01028759352,26.4046
0.01064759352,30.1625
0.01100759352,33.3579
0.01136759352,35.9316
0.01172759352,37.8364
0.01208759352,39.037
0.01244759352,39.5114
0.01280759352,39.2507
0.01316759352,38.2598
0.01352759352,36.557
0.01388759352,34.1737
0.01424759352,31.1537
0.01460759352,27.5529
0.01496759352,23.4377
0.01532759352,18.8842
0.01568759352,13.9772
0.01604759352,8.80887
0.01640759352,3.4824
0.01663333333,0.163701
0.016635,0.142212
0.01663833333,0.100842
0.016645,0.0309038
0.01665,0.00462589
0.01665133333,0.00232373
0.016654,0.000525704
0.01665933333,2.32887e-005
0.01666666667,-2.25867e-010
0.01666773333,1.33112e-007
0.01666986667,1.53813e-006
0.01667413333,2.52225e-005
0.01668266667,0.00330079
0.01669973333,0.16021
0.01673386667,0.639075
0.01680213333,1.64327
0.01693866667,3.67499
0.01721173333,7.72209
0.01757173333,12.9327
0.01793173333,17.9014
0.018,18.8085
